Row,Column,Well,Plate,Replicate,WellType,Strain,Drug
A,1,A1,PLT2,3,BLANK,NA,No drug
A,2,A2,PLT2,3,BLANK,NA,No drug
A,3,A3,PLT2,3,BLANK,NA,No drug
A,4,A4,PLT2,3,BLANK,NA,No drug
A,5,A5,PLT2,3,BLANK,NA,No drug
A,6,A6,PLT2,3,BLANK,NA,No drug
A,7,A7,PLT2,3,BLANK,NA,No drug
A,8,A8,PLT2,3,BLANK,NA,No drug
A,9,A9,PLT2,3,BLANK,NA,No drug
A,10,A10,PLT2,3,BLANK,NA,No drug
A,11,A11,PLT2,3,BLANK,NA,No drug
A,12,A12,PLT2,3,BLANK,NA,No drug
B,1,B1,PLT2,3,EMPTY,NA,No drug
B,2,B2,PLT2,3,DATA,AB14,RIF
B,3,B3,PLT2,3,DATA,IH_R22,RIF
B,4,B4,PLT2,3,DATA,HN_RIF18,RIF
B,5,B5,PLT2,3,DATA,OH_RIF4,RIF
B,6,B6,PLT2,3,DATA,AB3,RIF
B,7,B7,PLT2,3,DATA,OH_AB13RIF1,RIF
B,8,B8,PLT2,3,DATA,OH_AB3STP1,RIF
B,9,B9,PLT2,3,BLANK,NA,RIF
B,10,B10,PLT2,3,DATA,IH_S07,RIF
B,11,B11,PLT2,3,DATA,OH_AB13STP3,RIF
B,12,B12,PLT2,3,EMPTY,NA,No drug
C,1,C1,PLT2,3,EMPTY,NA,No drug
C,2,C2,PLT2,3,DATA,AB14,STP
C,3,C3,PLT2,3,DATA,IH_R22,STP
C,4,C4,PLT2,3,DATA,HN_RIF18,STP
C,5,C5,PLT2,3,DATA,OH_RIF4,STP
C,6,C6,PLT2,3,DATA,AB3,STP
C,7,C7,PLT2,3,DATA,OH_AB13RIF1,STP
C,8,C8,PLT2,3,DATA,OH_AB3STP1,STP
C,9,C9,PLT2,3,BLANK,NA,STP
C,10,C10,PLT2,3,DATA,IH_S07,STP
C,11,C11,PLT2,3,DATA,OH_AB13STP3,STP
C,12,C12,PLT2,3,EMPTY,NA,No drug
D,1,D1,PLT2,3,EMPTY,NA,No drug
D,2,D2,PLT2,3,EMPTY,NA,No drug
D,3,D3,PLT2,3,EMPTY,NA,No drug
D,4,D4,PLT2,3,EMPTY,NA,No drug
D,5,D5,PLT2,3,EMPTY,NA,No drug
D,6,D6,PLT2,3,EMPTY,NA,No drug
D,7,D7,PLT2,3,EMPTY,NA,No drug
D,8,D8,PLT2,3,EMPTY,NA,No drug
D,9,D9,PLT2,3,EMPTY,NA,No drug
D,10,D10,PLT2,3,EMPTY,NA,No drug
D,11,D11,PLT2,3,EMPTY,NA,No drug
D,12,D12,PLT2,3,EMPTY,NA,No drug
E,1,E1,PLT2,3,EMPTY,NA,No drug
E,2,E2,PLT2,3,DATA,AB14,No drug
E,3,E3,PLT2,3,DATA,IH_R22,No drug
E,4,E4,PLT2,3,DATA,HN_RIF18,No drug
E,5,E5,PLT2,3,DATA,OH_RIF4,No drug
E,6,E6,PLT2,3,DATA,AB3,No drug
E,7,E7,PLT2,3,DATA,OH_AB13RIF1,No drug
E,8,E8,PLT2,3,DATA,OH_AB3STP1,No drug
E,9,E9,PLT2,3,BLANK,NA,No drug
E,10,E10,PLT2,3,DATA,IH_S07,No drug
E,11,E11,PLT2,3,DATA,OH_AB13STP3,No drug
E,12,E12,PLT2,3,EMPTY,NA,No drug
F,1,F1,PLT2,3,EMPTY,NA,No drug
F,2,F2,PLT2,3,EMPTY,NA,No drug
F,3,F3,PLT2,3,EMPTY,NA,No drug
F,4,F4,PLT2,3,EMPTY,NA,No drug
F,5,F5,PLT2,3,EMPTY,NA,No drug
F,6,F6,PLT2,3,EMPTY,NA,No drug
F,7,F7,PLT2,3,EMPTY,NA,No drug
F,8,F8,PLT2,3,EMPTY,NA,No drug
F,9,F9,PLT2,3,EMPTY,NA,No drug
F,10,F10,PLT2,3,EMPTY,NA,No drug
F,11,F11,PLT2,3,EMPTY,NA,No drug
F,12,F12,PLT2,3,EMPTY,NA,No drug
G,1,G1,PLT2,3,EMPTY,NA,No drug
G,2,G2,PLT2,3,DATA,AB14,STP + RIF
G,3,G3,PLT2,3,DATA,IH_R22,STP + RIF
G,4,G4,PLT2,3,DATA,HN_RIF18,STP + RIF
G,5,G5,PLT2,3,DATA,OH_RIF4,STP + RIF
G,6,G6,PLT2,3,DATA,AB3,STP + RIF
G,7,G7,PLT2,3,DATA,OH_AB13RIF1,STP + RIF
G,8,G8,PLT2,3,DATA,OH_AB3STP1,STP + RIF
G,9,G9,PLT2,3,BLANK,NA,STP + RIF
G,10,G10,PLT2,3,DATA,IH_S07,STP + RIF
G,11,G11,PLT2,3,DATA,OH_AB13STP3,STP + RIF
G,12,G12,PLT2,3,EMPTY,NA,No drug
H,1,H1,PLT2,3,BLANK,NA,No drug
H,2,H2,PLT2,3,BLANK,NA,No drug
H,3,H3,PLT2,3,BLANK,NA,No drug
H,4,H4,PLT2,3,BLANK,NA,No drug
H,5,H5,PLT2,3,BLANK,NA,No drug
H,6,H6,PLT2,3,BLANK,NA,No drug
H,7,H7,PLT2,3,BLANK,NA,No drug
H,8,H8,PLT2,3,BLANK,NA,No drug
H,9,H9,PLT2,3,BLANK,NA,No drug
H,10,H10,PLT2,3,BLANK,NA,No drug
H,11,H11,PLT2,3,BLANK,NA,No drug
H,12,H12,PLT2,3,BLANK,NA,No drug
